编码,水位(m),时间
ZYXH-WLV-P01-001-02,18.941,2025-11-16 02:38:31.898
CBXH-WLV-P01-001-02,10.22,2025-11-16 02:38:36.713
JYHDQ-WLV-P01-001-02,8.574,2025-11-16 02:48:25.584
YDXH-WLV-P01-001-02,12.033,2025-11-16 02:48:26.467
DLJH-WLV-P01-001-02,17.784,2025-11-16 02:48:30.636
ZYXH-WLV-P01-001-02,18.985,2025-11-16 02:48:31.775
CBXH-WLV-P01-001-02,10.21,2025-11-16 02:48:36.721
JYHDQ-WLV-P01-001-02,8.569,2025-11-16 02:58:25.583
YDXH-WLV-P01-001-02,12.048,2025-11-16 02:58:26.499
DLJH-WLV-P01-001-02,17.839,2025-11-16 02:58:30.643
ZYXH-WLV-P01-001-02,19.074,2025-11-16 02:58:31.836
CBXH-WLV-P01-001-02,10.208,2025-11-16 02:58:36.643
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 03:08:25.571
YDXH-WLV-P01-001-02,12.03,2025-11-16 03:08:26.455
DLJH-WLV-P01-001-02,17.922,2025-11-16 03:08:30.676
ZYXH-WLV-P01-001-02,19.129,2025-11-16 03:08:31.502
CBXH-WLV-P01-001-02,10.203,2025-11-16 03:08:36.731
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 03:18:25.563
YDXH-WLV-P01-001-02,12.018,2025-11-16 03:18:26.454
DLJH-WLV-P01-001-02,17.988,2025-11-16 03:18:30.695
ZYXH-WLV-P01-001-02,19.211,2025-11-16 03:18:31.501
CBXH-WLV-P01-001-02,10.203,2025-11-16 03:18:36.619
JYHDQ-WLV-P01-001-02,8.576,2025-11-16 03:28:25.560
YDXH-WLV-P01-001-02,12.014,2025-11-16 03:28:26.431
DLJH-WLV-P01-001-02,18.09,2025-11-16 03:28:30.658
ZYXH-WLV-P01-001-02,19.284,2025-11-16 03:28:31.527
CBXH-WLV-P01-001-02,10.21,2025-11-16 03:28:36.786
JYHDQ-WLV-P01-001-02,8.573,2025-11-16 03:38:25.556
YDXH-WLV-P01-001-02,12.013,2025-11-16 03:38:26.451
DLJH-WLV-P01-001-02,18.158,2025-11-16 03:38:30.623
ZYXH-WLV-P01-001-02,19.361,2025-11-16 03:38:31.512
CBXH-WLV-P01-001-02,10.208,2025-11-16 03:38:36.744
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 03:48:25.569
YDXH-WLV-P01-001-02,12.011,2025-11-16 03:48:26.475
DLJH-WLV-P01-001-02,18.22,2025-11-16 03:48:30.625
ZYXH-WLV-P01-001-02,19.43,2025-11-16 03:48:31.484
CBXH-WLV-P01-001-02,10.201,2025-11-16 03:48:36.762
JYHDQ-WLV-P01-001-02,8.59,2025-11-16 03:58:26.012
YDXH-WLV-P01-001-02,12.007,2025-11-16 03:58:26.473
DLJH-WLV-P01-001-02,18.308,2025-11-16 03:58:30.655
ZYXH-WLV-P01-001-02,19.486,2025-11-16 03:58:31.483
CBXH-WLV-P01-001-02,10.218,2025-11-16 03:58:36.614
JYHDQ-WLV-P01-001-02,8.588,2025-11-16 04:08:25.593
YDXH-WLV-P01-001-02,12.013,2025-11-16 04:08:26.469
DLJH-WLV-P01-001-02,18.371,2025-11-16 04:08:30.678
ZYXH-WLV-P01-001-02,19.569,2025-11-16 04:08:31.776
CBXH-WLV-P01-001-02,10.204,2025-11-16 04:08:36.632
JYHDQ-WLV-P01-001-02,8.591,2025-11-16 04:18:25.576
YDXH-WLV-P01-001-02,12.015,2025-11-16 04:18:26.438
DLJH-WLV-P01-001-02,18.457,2025-11-16 04:18:30.677
ZYXH-WLV-P01-001-02,19.654,2025-11-16 04:18:32.032
CBXH-WLV-P01-001-02,10.207,2025-11-16 04:18:36.707
JYHDQ-WLV-P01-001-02,8.604,2025-11-16 04:28:25.585
YDXH-WLV-P01-001-02,11.987,2025-11-16 04:28:26.453
DLJH-WLV-P01-001-02,18.532,2025-11-16 04:28:30.637
ZYXH-WLV-P01-001-02,19.748,2025-11-16 04:28:31.742
CBXH-WLV-P01-001-02,10.187,2025-11-16 04:28:36.722
JYHDQ-WLV-P01-001-02,8.591,2025-11-16 04:38:25.570
YDXH-WLV-P01-001-02,11.982,2025-11-16 04:38:26.455
DLJH-WLV-P01-001-02,18.602,2025-11-16 04:38:30.679
ZYXH-WLV-P01-001-02,19.789,2025-11-16 04:38:31.554
CBXH-WLV-P01-001-02,10.201,2025-11-16 04:38:36.641
JYHDQ-WLV-P01-001-02,8.573,2025-11-16 04:48:25.586
YDXH-WLV-P01-001-02,11.982,2025-11-16 04:48:26.461
DLJH-WLV-P01-001-02,18.663,2025-11-16 04:48:30.623
ZYXH-WLV-P01-001-02,19.865,2025-11-16 04:48:32.001
CBXH-WLV-P01-001-02,10.182,2025-11-16 04:48:36.745
JYHDQ-WLV-P01-001-02,8.603,2025-11-16 04:58:25.579
YDXH-WLV-P01-001-02,11.988,2025-11-16 04:58:26.470
DLJH-WLV-P01-001-02,18.727,2025-11-16 04:58:30.670
ZYXH-WLV-P01-001-02,19.919,2025-11-16 04:58:31.492
CBXH-WLV-P01-001-02,10.179,2025-11-16 04:58:36.677
JYHDQ-WLV-P01-001-02,8.588,2025-11-16 05:08:25.602
YDXH-WLV-P01-001-02,11.974,2025-11-16 05:08:26.492
DLJH-WLV-P01-001-02,18.795,2025-11-16 05:08:30.677
ZYXH-WLV-P01-001-02,19.994,2025-11-16 05:08:31.548
CBXH-WLV-P01-001-02,10.167,2025-11-16 05:08:36.624
JYHDQ-WLV-P01-001-02,8.586,2025-11-16 05:18:25.645
YDXH-WLV-P01-001-02,11.967,2025-11-16 05:18:26.432
DLJH-WLV-P01-001-02,18.853,2025-11-16 05:18:30.608
ZYXH-WLV-P01-001-02,20.055,2025-11-16 05:18:31.677
CBXH-WLV-P01-001-02,10.182,2025-11-16 05:18:36.624
JYHDQ-WLV-P01-001-02,8.582,2025-11-16 05:28:25.562
YDXH-WLV-P01-001-02,11.982,2025-11-16 05:28:26.471
DLJH-WLV-P01-001-02,18.888,2025-11-16 05:28:30.624
ZYXH-WLV-P01-001-02,20.122,2025-11-16 05:28:31.493
CBXH-WLV-P01-001-02,10.162,2025-11-16 05:28:36.624
JYHDQ-WLV-P01-001-02,8.585,2025-11-16 05:38:25.549
YDXH-WLV-P01-001-02,11.957,2025-11-16 05:38:26.471
DLJH-WLV-P01-001-02,18.928,2025-11-16 05:38:30.637
ZYXH-WLV-P01-001-02,20.161,2025-11-16 05:38:31.687
CBXH-WLV-P01-001-02,10.162,2025-11-16 05:38:36.611
JYHDQ-WLV-P01-001-02,8.583,2025-11-16 05:48:25.546
YDXH-WLV-P01-001-02,11.966,2025-11-16 05:48:26.483
DLJH-WLV-P01-001-02,18.996,2025-11-16 05:48:30.659
ZYXH-WLV-P01-001-02,20.231,2025-11-16 05:48:31.488
CBXH-WLV-P01-001-02,10.128,2025-11-16 05:48:36.800
JYHDQ-WLV-P01-001-02,8.585,2025-11-16 05:58:25.671
YDXH-WLV-P01-001-02,11.957,2025-11-16 05:58:26.472
DLJH-WLV-P01-001-02,19.003,2025-11-16 05:58:30.641
ZYXH-WLV-P01-001-02,20.292,2025-11-16 05:58:31.988
CBXH-WLV-P01-001-02,10.157,2025-11-16 05:58:36.626
JYHDQ-WLV-P01-001-02,8.584,2025-11-16 06:08:25.562
YDXH-WLV-P01-001-02,11.948,2025-11-16 06:08:26.440
DLJH-WLV-P01-001-02,19.052,2025-11-16 06:08:30.612
ZYXH-WLV-P01-001-02,20.339,2025-11-16 06:08:31.903
CBXH-WLV-P01-001-02,10.144,2025-11-16 06:08:36.609
JYHDQ-WLV-P01-001-02,8.59,2025-11-16 06:18:25.570
YDXH-WLV-P01-001-02,11.936,2025-11-16 06:18:26.453
DLJH-WLV-P01-001-02,19.089,2025-11-16 06:18:30.657
ZYXH-WLV-P01-001-02,20.414,2025-11-16 06:18:31.937
CBXH-WLV-P01-001-02,10.145,2025-11-16 06:18:36.621
JYHDQ-WLV-P01-001-02,8.571,2025-11-16 06:28:25.573
YDXH-WLV-P01-001-02,11.935,2025-11-16 06:28:26.470
DLJH-WLV-P01-001-02,19.138,2025-11-16 06:28:30.627
ZYXH-WLV-P01-001-02,20.433,2025-11-16 06:28:31.906
CBXH-WLV-P01-001-02,10.121,2025-11-16 06:28:36.633
JYHDQ-WLV-P01-001-02,8.584,2025-11-16 06:38:25.574
YDXH-WLV-P01-001-02,11.954,2025-11-16 06:38:26.449
DLJH-WLV-P01-001-02,19.155,2025-11-16 06:38:30.628
ZYXH-WLV-P01-001-02,20.464,2025-11-16 06:38:31.914
CBXH-WLV-P01-001-02,10.14,2025-11-16 06:38:36.636
JYHDQ-WLV-P01-001-02,8.57,2025-11-16 06:48:25.582
YDXH-WLV-P01-001-02,11.942,2025-11-16 06:48:26.461
DLJH-WLV-P01-001-02,19.144,2025-11-16 06:48:30.653
ZYXH-WLV-P01-001-02,20.44,2025-11-16 06:48:31.955
CBXH-WLV-P01-001-02,10.148,2025-11-16 06:48:36.642
JYHDQ-WLV-P01-001-02,8.545,2025-11-16 06:58:25.547
YDXH-WLV-P01-001-02,11.937,2025-11-16 06:58:26.464
DLJH-WLV-P01-001-02,19.151,2025-11-16 06:58:30.647
ZYXH-WLV-P01-001-02,20.435,2025-11-16 06:58:31.519
CBXH-WLV-P01-001-02,10.126,2025-11-16 06:58:36.746
JYHDQ-WLV-P01-001-02,8.566,2025-11-16 07:08:25.578
YDXH-WLV-P01-001-02,11.942,2025-11-16 07:08:26.473
DLJH-WLV-P01-001-02,19.142,2025-11-16 07:08:30.682
ZYXH-WLV-P01-001-02,20.401,2025-11-16 07:08:31.956
CBXH-WLV-P01-001-02,10.137,2025-11-16 07:08:36.632
JYHDQ-WLV-P01-001-02,8.532,2025-11-16 07:18:25.565
YDXH-WLV-P01-001-02,11.928,2025-11-16 07:18:26.455
DLJH-WLV-P01-001-02,19.112,2025-11-16 07:18:30.612
ZYXH-WLV-P01-001-02,20.398,2025-11-16 07:18:31.511
CBXH-WLV-P01-001-02,10.126,2025-11-16 07:18:36.820
JYHDQ-WLV-P01-001-02,8.582,2025-11-16 07:28:25.595
YDXH-WLV-P01-001-02,11.907,2025-11-16 07:28:26.473
DLJH-WLV-P01-001-02,19.088,2025-11-16 07:28:30.642
ZYXH-WLV-P01-001-02,20.366,2025-11-16 07:28:31.520
CBXH-WLV-P01-001-02,10.12,2025-11-16 07:28:36.627
JYHDQ-WLV-P01-001-02,8.598,2025-11-16 07:38:25.574
YDXH-WLV-P01-001-02,11.911,2025-11-16 07:38:26.474
DLJH-WLV-P01-001-02,19.073,2025-11-16 07:38:30.643
ZYXH-WLV-P01-001-02,20.342,2025-11-16 07:38:31.990
CBXH-WLV-P01-001-02,10.108,2025-11-16 07:38:36.590
JYHDQ-WLV-P01-001-02,8.583,2025-11-16 07:48:25.606
YDXH-WLV-P01-001-02,11.914,2025-11-16 07:48:26.494
DLJH-WLV-P01-001-02,19.012,2025-11-16 07:48:30.644
ZYXH-WLV-P01-001-02,20.334,2025-11-16 07:48:31.949
CBXH-WLV-P01-001-02,10.119,2025-11-16 07:48:36.717
JYHDQ-WLV-P01-001-02,8.564,2025-11-16 07:58:25.659
YDXH-WLV-P01-001-02,11.914,2025-11-16 07:58:26.450
DLJH-WLV-P01-001-02,18.976,2025-11-16 07:58:30.643
ZYXH-WLV-P01-001-02,20.306,2025-11-16 07:58:31.496
CBXH-WLV-P01-001-02,10.101,2025-11-16 07:58:36.740
JYHDQ-WLV-P01-001-02,8.553,2025-11-16 08:08:25.556
YDXH-WLV-P01-001-02,11.913,2025-11-16 08:08:26.455
DLJH-WLV-P01-001-02,18.909,2025-11-16 08:08:30.632
ZYXH-WLV-P01-001-02,20.261,2025-11-16 08:08:31.676
CBXH-WLV-P01-001-02,10.109,2025-11-16 08:08:36.762
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 08:18:25.582
YDXH-WLV-P01-001-02,11.905,2025-11-16 08:18:26.466
DLJH-WLV-P01-001-02,18.841,2025-11-16 08:18:30.722
ZYXH-WLV-P01-001-02,20.189,2025-11-16 08:18:31.896
CBXH-WLV-P01-001-02,10.096,2025-11-16 08:18:36.713
JYHDQ-WLV-P01-001-02,8.531,2025-11-16 08:28:25.582
YDXH-WLV-P01-001-02,11.899,2025-11-16 08:28:26.491
DLJH-WLV-P01-001-02,18.712,2025-11-16 08:28:30.666
ZYXH-WLV-P01-001-02,20.097,2025-11-16 08:28:31.906
CBXH-WLV-P01-001-02,10.107,2025-11-16 08:28:36.629
JYHDQ-WLV-P01-001-02,8.577,2025-11-16 08:38:25.580
YDXH-WLV-P01-001-02,11.897,2025-11-16 08:38:26.481
DLJH-WLV-P01-001-02,18.609,2025-11-16 08:38:30.686
ZYXH-WLV-P01-001-02,19.99,2025-11-16 08:38:31.518
CBXH-WLV-P01-001-02,10.108,2025-11-16 08:38:36.619
JYHDQ-WLV-P01-001-02,8.586,2025-11-16 08:48:25.559
YDXH-WLV-P01-001-02,11.928,2025-11-16 08:48:26.486
DLJH-WLV-P01-001-02,18.461,2025-11-16 08:48:30.654
ZYXH-WLV-P01-001-02,19.892,2025-11-16 08:48:31.730
CBXH-WLV-P01-001-02,10.086,2025-11-16 08:48:36.630
JYHDQ-WLV-P01-001-02,8.579,2025-11-16 08:58:25.601
YDXH-WLV-P01-001-02,11.889,2025-11-16 08:58:26.445
DLJH-WLV-P01-001-02,18.334,2025-11-16 08:58:30.678
ZYXH-WLV-P01-001-02,19.788,2025-11-16 08:58:31.939
CBXH-WLV-P01-001-02,10.051,2025-11-16 08:58:36.629
JYHDQ-WLV-P01-001-02,8.546,2025-11-16 09:08:25.567
YDXH-WLV-P01-001-02,11.898,2025-11-16 09:08:26.451
DLJH-WLV-P01-001-02,18.189,2025-11-16 09:08:30.686
ZYXH-WLV-P01-001-02,19.685,2025-11-16 09:08:31.523
CBXH-WLV-P01-001-02,10.081,2025-11-16 09:08:36.633
JYHDQ-WLV-P01-001-02,8.594,2025-11-16 09:18:25.583
YDXH-WLV-P01-001-02,11.905,2025-11-16 09:18:26.452
DLJH-WLV-P01-001-02,18.077,2025-11-16 09:18:30.630
ZYXH-WLV-P01-001-02,19.547,2025-11-16 09:18:31.968
CBXH-WLV-P01-001-02,10.081,2025-11-16 09:18:36.740
JYHDQ-WLV-P01-001-02,8.593,2025-11-16 09:28:25.578
YDXH-WLV-P01-001-02,11.886,2025-11-16 09:28:26.468
DLJH-WLV-P01-001-02,17.943,2025-11-16 09:28:30.646
ZYXH-WLV-P01-001-02,19.393,2025-11-16 09:28:31.984
CBXH-WLV-P01-001-02,10.078,2025-11-16 09:28:36.755
JYHDQ-WLV-P01-001-02,8.551,2025-11-16 09:38:25.583
YDXH-WLV-P01-001-02,11.854,2025-11-16 09:38:26.478
DLJH-WLV-P01-001-02,17.818,2025-11-16 09:38:30.640
ZYXH-WLV-P01-001-02,19.26,2025-11-16 09:38:32.002
CBXH-WLV-P01-001-02,10.061,2025-11-16 09:38:36.624
JYHDQ-WLV-P01-001-02,8.511,2025-11-16 09:48:25.618
YDXH-WLV-P01-001-02,11.862,2025-11-16 09:48:26.495
DLJH-WLV-P01-001-02,17.72,2025-11-16 09:48:30.671
ZYXH-WLV-P01-001-02,19.143,2025-11-16 09:48:31.989
CBXH-WLV-P01-001-02,10.043,2025-11-16 09:48:36.615
JYHDQ-WLV-P01-001-02,8.589,2025-11-16 09:58:25.578
YDXH-WLV-P01-001-02,11.837,2025-11-16 09:58:26.462
DLJH-WLV-P01-001-02,17.594,2025-11-16 09:58:30.646
ZYXH-WLV-P01-001-02,19.037,2025-11-16 09:58:32.047
CBXH-WLV-P01-001-02,10.071,2025-11-16 09:58:36.730
JYHDQ-WLV-P01-001-02,8.572,2025-11-16 10:08:25.594
YDXH-WLV-P01-001-02,11.85,2025-11-16 10:08:26.472
DLJH-WLV-P01-001-02,17.51,2025-11-16 10:08:30.654
ZYXH-WLV-P01-001-02,18.94,2025-11-16 10:08:31.516
CBXH-WLV-P01-001-02,10.067,2025-11-16 10:08:36.794
JYHDQ-WLV-P01-001-02,8.479,2025-11-16 10:18:25.577
YDXH-WLV-P01-001-02,11.852,2025-11-16 10:18:26.485
DLJH-WLV-P01-001-02,17.45,2025-11-16 10:18:30.624
ZYXH-WLV-P01-001-02,18.86,2025-11-16 10:18:31.940
CBXH-WLV-P01-001-02,10.026,2025-11-16 10:18:36.734
JYHDQ-WLV-P01-001-02,8.586,2025-11-16 10:28:25.589
YDXH-WLV-P01-001-02,11.852,2025-11-16 10:28:26.477
DLJH-WLV-P01-001-02,17.342,2025-11-16 10:28:30.661
ZYXH-WLV-P01-001-02,18.745,2025-11-16 10:28:32.039
CBXH-WLV-P01-001-02,9.98,2025-11-16 10:28:36.737
JYHDQ-WLV-P01-001-02,8.523,2025-11-16 10:38:25.825
YDXH-WLV-P01-001-02,11.843,2025-11-16 10:38:26.478
DLJH-WLV-P01-001-02,17.278,2025-11-16 10:38:30.626
ZYXH-WLV-P01-001-02,18.641,2025-11-16 10:38:31.753
CBXH-WLV-P01-001-02,10.043,2025-11-16 10:38:36.678
JYHDQ-WLV-P01-001-02,8.544,2025-11-16 10:48:25.570
YDXH-WLV-P01-001-02,11.824,2025-11-16 10:48:26.520
DLJH-WLV-P01-001-02,17.21,2025-11-16 10:48:30.657
ZYXH-WLV-P01-001-02,18.536,2025-11-16 10:48:31.764
CBXH-WLV-P01-001-02,10.019,2025-11-16 10:48:36.635
JYHDQ-WLV-P01-001-02,8.567,2025-11-16 10:58:25.579
YDXH-WLV-P01-001-02,11.83,2025-11-16 10:58:26.480
DLJH-WLV-P01-001-02,17.139,2025-11-16 10:58:30.673
ZYXH-WLV-P01-001-02,18.462,2025-11-16 10:58:31.986
CBXH-WLV-P01-001-02,9.974,2025-11-16 10:58:36.717
JYHDQ-WLV-P01-001-02,8.519,2025-11-16 11:08:25.575
YDXH-WLV-P01-001-02,11.817,2025-11-16 11:08:26.480
DLJH-WLV-P01-001-02,17.065,2025-11-16 11:08:30.697
ZYXH-WLV-P01-001-02,18.372,2025-11-16 11:08:32.095
CBXH-WLV-P01-001-02,10.027,2025-11-16 11:08:36.735
JYHDQ-WLV-P01-001-02,8.525,2025-11-16 11:18:25.596
YDXH-WLV-P01-001-02,11.826,2025-11-16 11:18:26.474
DLJH-WLV-P01-001-02,17.011,2025-11-16 11:18:30.647
ZYXH-WLV-P01-001-02,18.33,2025-11-16 11:18:31.518
CBXH-WLV-P01-001-02,10.006,2025-11-16 11:18:36.719
JYHDQ-WLV-P01-001-02,8.628,2025-11-16 11:28:25.606
YDXH-WLV-P01-001-02,11.791,2025-11-16 11:28:26.498
DLJH-WLV-P01-001-02,16.965,2025-11-16 11:28:30.662
ZYXH-WLV-P01-001-02,18.315,2025-11-16 11:28:32.053
CBXH-WLV-P01-001-02,10.038,2025-11-16 11:28:36.617
JYHDQ-WLV-P01-001-02,8.531,2025-11-16 11:38:25.581
YDXH-WLV-P01-001-02,11.793,2025-11-16 11:38:26.505
DLJH-WLV-P01-001-02,16.884,2025-11-16 11:38:30.627
ZYXH-WLV-P01-001-02,18.28,2025-11-16 11:38:31.516
CBXH-WLV-P01-001-02,9.988,2025-11-16 11:38:36.741
JYHDQ-WLV-P01-001-02,8.507,2025-11-16 11:48:25.602
YDXH-WLV-P01-001-02,11.804,2025-11-16 11:48:26.471
DLJH-WLV-P01-001-02,16.873,2025-11-16 11:48:30.651
ZYXH-WLV-P01-001-02,18.182,2025-11-16 11:48:31.544
CBXH-WLV-P01-001-02,9.991,2025-11-16 11:48:36.638
JYHDQ-WLV-P01-001-02,8.52,2025-11-16 11:58:25.565
YDXH-WLV-P01-001-02,11.794,2025-11-16 11:58:26.468
DLJH-WLV-P01-001-02,16.832,2025-11-16 11:58:30.632
ZYXH-WLV-P01-001-02,18.102,2025-11-16 11:58:31.530
CBXH-WLV-P01-001-02,10.017,2025-11-16 11:58:36.629
JYHDQ-WLV-P01-001-02,8.521,2025-11-16 12:08:25.578
YDXH-WLV-P01-001-02,11.807,2025-11-16 12:08:26.467
DLJH-WLV-P01-001-02,16.831,2025-11-16 12:08:30.617
ZYXH-WLV-P01-001-02,18.067,2025-11-16 12:08:31.534
CBXH-WLV-P01-001-02,10.033,2025-11-16 12:08:36.665
JYHDQ-WLV-P01-001-02,8.509,2025-11-16 12:18:25.706
YDXH-WLV-P01-001-02,11.782,2025-11-16 12:18:26.464
DLJH-WLV-P01-001-02,16.797,2025-11-16 12:18:30.631
ZYXH-WLV-P01-001-02,18.027,2025-11-16 12:18:31.533
CBXH-WLV-P01-001-02,9.991,2025-11-16 12:18:36.634
JYHDQ-WLV-P01-001-02,8.567,2025-11-16 12:28:25.582
YDXH-WLV-P01-001-02,11.785,2025-11-16 12:28:26.520
DLJH-WLV-P01-001-02,16.777,2025-11-16 12:28:30.650
ZYXH-WLV-P01-001-02,18.029,2025-11-16 12:28:31.535
CBXH-WLV-P01-001-02,10.0,2025-11-16 12:28:36.636
JYHDQ-WLV-P01-001-02,8.52,2025-11-16 12:38:25.584
YDXH-WLV-P01-001-02,11.799,2025-11-16 12:38:26.551
DLJH-WLV-P01-001-02,16.789,2025-11-16 12:38:30.662
ZYXH-WLV-P01-001-02,18.043,2025-11-16 12:38:31.507
CBXH-WLV-P01-001-02,9.987,2025-11-16 12:38:36.614
JYHDQ-WLV-P01-001-02,8.502,2025-11-16 12:48:25.598
YDXH-WLV-P01-001-02,11.79,2025-11-16 12:48:26.489
DLJH-WLV-P01-001-02,16.807,2025-11-16 12:48:30.660
ZYXH-WLV-P01-001-02,18.076,2025-11-16 12:48:31.505
CBXH-WLV-P01-001-02,9.998,2025-11-16 12:48:36.598
JYHDQ-WLV-P01-001-02,8.492,2025-11-16 12:58:25.561
YDXH-WLV-P01-001-02,11.806,2025-11-16 12:58:26.474
DLJH-WLV-P01-001-02,16.829,2025-11-16 12:58:30.683
ZYXH-WLV-P01-001-02,18.102,2025-11-16 12:58:31.529
CBXH-WLV-P01-001-02,9.966,2025-11-16 12:58:36.620
JYHDQ-WLV-P01-001-02,8.524,2025-11-16 13:08:25.621
YDXH-WLV-P01-001-02,11.792,2025-11-16 13:08:26.489
