序号,桥梁名称,桥梁编码,监测场景,监测内容,位置,测点编号,SN号/地址,端口号,用户,admin
32,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,下行第15#桥墩,CBXH-VIB-P01-002-02,1524020671,,,
33,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,下行第19#桥墩,CBXH-VIB-P01-002-03,1524020670,,,
34,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,下行第20#桥墩,CBXH-VIB-P01-002-04,1524020669,,,
35,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,下行第14#桥墩,CBXH-INC-P01-002-01,1524020672,,,
36,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,下行第15#桥墩,CBXH-INC-P01-002-02,1524020671,,,
37,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,下行第19#桥墩,CBXH-INC-P01-002-03,1524020670,,,
38,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,下行第20#桥墩,CBXH-INC-P01-002-04,1524020669,,,
39,永定新河特大桥,G0111120116L0150,水毁风险区桥梁监测,水位监测,上行第21#桥墩,YXDH-WLV-P01-001-02,14,41002,,
40,永定新河特大桥,G0111120116L0150,,视频抓拍,上行,,192.168.9.63,,,
41,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,上行第20#桥墩,YXDH-VIB-P01-001-01,1524020742,,,
42,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,上行第21#桥墩,YXDH-VIB-P01-001-02,1524020744,,,
43,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,上行第22#桥墩,YXDH-VIB-P01-001-03,1524020741,,,
44,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,上行第23#桥墩,YXDH-VIB-P01-001-04,1524020747,,,
45,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,上行第20#桥墩,YXDH-INC-P01-001-01,1524020742,,,
46,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,上行第21#桥墩,YXDH-INC-P01-001-02,1524020744,,,
47,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,上行第22#桥墩,YXDH-INC-P01-001-03,1524020741,,,
48,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,上行第23#桥墩,YXDH-INC-P01-001-04,1524020747,,,
49,永定新河特大桥,G0111120116L0150,,视频抓拍,下行,,192.168.9.62,,,
50,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,下行第20#桥墩,YXDH-VIB-P01-002-01,1524020668,,,
51,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,下行第21#桥墩,YXDH-VIB-P01-002-02,1524020667,,,
52,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,下行第22#桥墩,YXDH-VIB-P01-002-03,1524020666,,,
53,永定新河特大桥,G0111120116L0150,撞击高风险桥梁监测,振动监测,下行第23#桥墩,YXDH-VIB-P01-002-04,1524020665,,,
54,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,下行第20#桥墩,YXDH-INC-P01-002-01,1524020668,,,
55,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,下行第21#桥墩,YXDH-INC-P01-002-02,1524020667,,,
56,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,下行第22#桥墩,YXDH-INC-P01-002-03,1524020666,,,
57,永定新河特大桥,G0111120116L0150,高烈度地震区桥梁监测,桥墩倾斜监测,下行第23#桥墩,YXDH-INC-P01-002-04,1524020665,,,
58,独流减河特大桥,G0111120116R0380,水毁风险区桥梁监测,水位监测,上行第42#桥墩,DLJH-WLV-P01-001-02,13,41003,,
59,独流减河特大桥,G0111120116R0380,,视频抓拍,上行,,192.168.9.61,,,
60,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,上行第41#桥墩,DLJH-VIB-P01-001-01,1524020733,,,
61,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,上行第42#桥墩,DLJH-VIB-P01-001-02,1524020729,,,
62,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,上行第43#桥墩,DLJH-VIB-P01-001-03,1524020732,,,
63,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,上行第44#桥墩,DLJH-VIB-P01-001-04,1524020749,,,
64,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,上行第41#桥墩,DLJH-INC-P01-001-01,1524020733,,,
65,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,上行第42#桥墩,DLJH-INC-P01-001-02,1524020729,,,
66,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,上行第43#桥墩,DLJH-INC-P01-001-03,1524020732,,,
67,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,上行第44#桥墩,DLJH-INC-P01-001-04,1524020749,,,
68,独流减河特大桥,G0111120116R0380,,视频抓拍,下行,,192.168.9.60,,,
69,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,下行第41#桥墩,DLJH-VIB-P01-002-01,1524020707,,,
70,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,下行第42#桥墩,DLJH-VIB-P01-002-02,1524020705,,,
71,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,下行第43#桥墩,DLJH-VIB-P01-002-03,1524020706,,,
72,独流减河特大桥,G0111120116R0380,撞击高风险桥梁监测,振动监测,下行第44#桥墩,DLJH-VIB-P01-002-04,1524020708,,,
73,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,下行第41#桥墩,DLJH-INC-P01-002-01,1524020707,,,
74,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,下行第42#桥墩,DLJH-INC-P01-002-02,1524020705,,,
75,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,下行第43#桥墩,DLJH-INC-P01-002-03,1524020706,,,
76,独流减河特大桥,G0111120116R0380,高烈度地震区桥梁监测,桥墩倾斜监测,下行第44#桥墩,DLJH-INC-P01-002-04,1524020708,,,
77,子牙新河特大桥,G0111120116R0400,水毁风险区桥梁监测,水位监测,上行第164#桥墩,ZYXH-WLV-P01-001-02,15,41004,134.175.231.205,
78,子牙新河特大桥,G0111120116R0400,,视频抓拍,上行,,192.168.9.68,,,
79,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,上行第163#桥墩,ZYXH-VIB-P01-001-01,1524020752,,,
80,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,上行第164#桥墩,ZYXH-VIB-P01-001-02,1524020750,,,
81,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,上行第165#桥墩,ZYXH-VIB-P01-001-03,1524020735,,,
82,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,上行第166#桥墩,ZYXH-VIB-P01-001-04,1524020730,,,
83,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,上行第163#桥墩,ZYXH-INC-P01-001-01,1524020752,,,
84,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,上行第164#桥墩,ZYXH-INC-P01-001-02,1524020750,,,
85,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,上行第165#桥墩,ZYXH-INC-P01-001-03,1524020735,,,
86,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,上行第166#桥墩,ZYXH-INC-P01-001-04,1524020730,,,
87,子牙新河特大桥,G0111120116R0400,,视频抓拍,下行,,192.168.9.69,,,
88,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,下行第163#桥墩,ZYXH-VIB-P01-002-01,1524020711,,,
89,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,下行第164#桥墩,ZYXH-VIB-P01-002-02,1524020712,,,
90,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,下行第165#桥墩,ZYXH-VIB-P01-002-03,1524020710,,,
91,子牙新河特大桥,G0111120116R0400,撞击高风险桥梁监测,振动监测,下行第166#桥墩,ZYXH-VIB-P01-002-04,1524020709,,,
92,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,下行第163#桥墩,ZYXH-INC-P01-002-01,1524020711,,,
93,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,下行第164#桥墩,ZYXH-INC-P01-002-02,1524020712,,,
94,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,下行第165#桥墩,ZYXH-INC-P01-002-03,1524020710,,,
95,子牙新河特大桥,G0111120116R0400,高烈度地震区桥梁监测,桥墩倾斜监测,下行第166#桥墩,ZYXH-INC-P01-002-04,1524020709,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
